Speaker	Parser	Age	Score	Mean	CI25	CI975
Child	UD-EWT	18	UAS	84.86	80.79	88.61
Child	UD-EWT	18	LAS	68.13	64.27	71.82
Child	UD-EWT finetuned with child speech	18	UAS	88.59	85.6	91.49
Child	UD-EWT finetuned with child speech	18	LAS	77.15	73.98	80.3
Child	UD-EWT finetuned with parent speech	18	UAS	82.4	78.04	86.57
Child	UD-EWT finetuned with parent speech	18	LAS	72.12	67.83	76.28
Child	Parent speech	18	UAS	78.23	74.22	82.17
Child	Parent speech	18	LAS	66.01	61.78	70.2
Child	Parent speech finetuned with child speech	18	UAS	91.02	88.25	93.61
Child	Parent speech finetuned with child speech	18	LAS	81.05	78.05	83.98
Parent	UD-EWT	18	UAS	95.95	94.01	97.61
Parent	UD-EWT	18	LAS	91.1	88.72	93.26
Child	UD-EWT	21	UAS	74.24	69.77	78.52
Child	UD-EWT	21	LAS	59.36	55.04	63.65
Child	UD-EWT finetuned with child speech	21	UAS	82.77	79.26	86.22
Child	UD-EWT finetuned with child speech	21	LAS	73.38	69.62	77.16
Child	UD-EWT finetuned with parent speech	21	UAS	74.47	69.83	79.08
Child	UD-EWT finetuned with parent speech	21	LAS	66.14	61.61	70.68
Child	Parent speech	21	UAS	74.45	69.8	78.97
Child	Parent speech	21	LAS	66.13	61.51	70.65
Child	Parent speech finetuned with child speech	21	UAS	79.53	75.55	83.33
Child	Parent speech finetuned with child speech	21	LAS	71.68	67.61	75.58
Parent	UD-EWT	21	UAS	92.18	89.25	94.73
Parent	UD-EWT	21	LAS	88.72	85.71	91.42
Child	UD-EWT	24	UAS	89.94	87.17	92.59
Child	UD-EWT	24	LAS	80.58	77.21	83.9
Child	UD-EWT finetuned with child speech	24	UAS	90.15	87.62	92.59
Child	UD-EWT finetuned with child speech	24	LAS	83.31	80.37	86.18
Child	UD-EWT finetuned with parent speech	24	UAS	92.97	90.91	95.07
Child	UD-EWT finetuned with parent speech	24	LAS	87.19	84.45	89.73
Child	Parent speech	24	UAS	92.9	90.7	95.09
Child	Parent speech	24	LAS	87.24	84.53	89.88
Child	Parent speech finetuned with child speech	24	UAS	90.64	88.12	92.99
Child	Parent speech finetuned with child speech	24	LAS	83.52	80.57	86.34
Parent	UD-EWT	24	UAS	92.51	89.92	94.84
Parent	UD-EWT	24	LAS	88.36	85.41	91.03
Child	UD-EWT	27	UAS	86.26	83.25	89.81
Child	UD-EWT	27	LAS	79.89	76.12	83.55
Child	UD-EWT finetuned with child speech	27	UAS	83.09	79.26	86.79
Child	UD-EWT finetuned with child speech	27	LAS	75.59	71.56	79.64
Child	UD-EWT finetuned with parent speech	27	UAS	89.53	86.38	92.39
Child	UD-EWT finetuned with parent speech	27	LAS	83.85	80.45	87.13
Child	Parent speech	27	UAS	89.54	86.41	92.43
Child	Parent speech	27	LAS	83.88	80.51	87.08
Child	Parent speech finetuned with child speech	27	UAS	88.29	84.91	91.42
Child	Parent speech finetuned with child speech	27	LAS	80.12	76.47	83.5
Parent	UD-EWT	27	UAS	91.3	88.19	94.13
Parent	UD-EWT	27	LAS	87.09	83.93	90.08
